"filename", "language", "XML", "JSON", "C#", "EditorConfig", "Solution File", "comment", "blank", "total"
"d:\Code\AutoTest\src\AutoTest.Core\Target\Http\HttpTarget.cs", "C#", 0, 0, 11, 0, 0, 0, 8, 19
"d:\Code\AutoTest\src\AutoTest.Core\Target\Http\RequestMethod.cs", "C#", 0, 0, 8, 0, 0, 0, 2, 10
"d:\Code\AutoTest\src\AutoTest.Core\obj\AutoTest.Core.csproj.nuget.dgspec.json", "JSON", 0, 87, 0, 0, 0, 0, 0, 87
"d:\Code\AutoTest\src\AutoTest.Core\obj\AutoTest.Core.csproj.nuget.g.props", "XML", 16, 0, 0, 0, 0, 0, 0, 16
"d:\Code\AutoTest\src\AutoTest.Core\obj\AutoTest.Core.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 0, 2
"d:\Code\AutoTest\src\AutoTest.Core\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 1, 1, 5
"d:\Code\AutoTest\src\AutoTest.Core\obj\Debug\net8.0\AutoTest.Core.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 10, 5, 24
"d:\Code\AutoTest\src\AutoTest.Core\obj\Debug\net8.0\AutoTest.Core.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 0, 17, 0, 0, 1, 18
"d:\Code\AutoTest\src\AutoTest.Core\obj\Debug\net8.0\AutoTest.Core.GlobalUsings.g.cs", "C#", 0, 0, 7, 0, 0, 1, 1, 9
"d:\Code\AutoTest\src\AutoTest.Core\obj\project.assets.json", "JSON", 0, 93, 0, 0, 0, 0, 0, 93
"d:\Code\AutoTest\src\AutoTest.Infrastructure\AutoTest.Infrastructure.csproj", "XML", 7, 0, 0, 0, 0, 0, 3, 10
"d:\Code\AutoTest\src\AutoTest.Infrastructure\BackgroundScheduler.cs", "C#", 0, 0, 11, 0, 0, 0, 2, 13
"d:\Code\AutoTest\src\AutoTest.Infrastructure\Class1.cs", "C#", 0, 0, 4, 0, 0, 0, 3, 7
"d:\Code\AutoTest\src\AutoTest.Infrastructure\ExecutionLogRepository.cs", "C#", 0, 0, 11, 0, 0, 0, 2, 13
"d:\Code\AutoTest\src\AutoTest.Infrastructure\HttpExecutor.cs", "C#", 0, 0, 11, 0, 0, 0, 2, 13
"d:\Code\AutoTest\src\AutoTest.Infrastructure\NotificationDispatcher.cs", "C#", 0, 0, 11, 0, 0, 0, 2, 13
"d:\Code\AutoTest\src\AutoTest.Infrastructure\obj\AutoTest.Infrastructure.csproj.nuget.dgspec.json", "JSON", 0, 87, 0, 0, 0, 0, 0, 87
"d:\Code\AutoTest\src\AutoTest.Infrastructure\obj\AutoTest.Infrastructure.csproj.nuget.g.props", "XML", 16, 0, 0, 0, 0, 0, 0, 16
"d:\Code\AutoTest\src\AutoTest.Infrastructure\obj\AutoTest.Infrastructure.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 0, 2
"d:\Code\AutoTest\src\AutoTest.Infrastructure\obj\Debug\net10.0\AutoTest.Infrastructure.GlobalUsings.g.cs", "C#", 0, 0, 7, 0, 0, 1, 1, 9
"d:\Code\AutoTest\src\AutoTest.Infrastructure\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 1, 1, 5
"d:\Code\AutoTest\src\AutoTest.Infrastructure\obj\Debug\net8.0\AutoTest.Infrastructure.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 10, 5, 24
"d:\Code\AutoTest\src\AutoTest.Infrastructure\obj\Debug\net8.0\AutoTest.Infrastructure.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 0, 17, 0, 0, 1, 18
"d:\Code\AutoTest\src\AutoTest.Infrastructure\obj\Debug\net8.0\AutoTest.Infrastructure.GlobalUsings.g.cs", "C#", 0, 0, 7, 0, 0, 1, 1, 9
"d:\Code\AutoTest\src\AutoTest.Infrastructure\obj\project.assets.json", "JSON", 0, 93, 0, 0, 0, 0, 0, 93
"d:\Code\AutoTest\src\AutoTest.Webapi\ApiTestCase.cs", "C#", 0, 0, 12, 0, 0, 0, 1, 13
"d:\Code\AutoTest\src\AutoTest.Webapi\ApiTestRunner.cs", "C#", 0, 0, 21, 0, 0, 0, 6, 27
"d:\Code\AutoTest\src\AutoTest.Webapi\AutoTest.Webapi.csproj", "XML", 16, 0, 0, 0, 0, 0, 5, 21
"d:\Code\AutoTest\src\AutoTest.Webapi\Program.cs", "C#", 0, 0, 24, 0, 0, 3, 6, 33
"d:\Code\AutoTest\src\AutoTest.Webapi\Properties\launchSettings.json", "JSON", 0, 41, 0, 0, 0, 0, 1, 42
"d:\Code\AutoTest\src\AutoTest.Webapi\appsettings.Development.json", "JSON", 0, 8, 0, 0, 0, 0, 1, 9
"d:\Code\AutoTest\src\AutoTest.Webapi\appsettings.json", "JSON", 0, 9, 0, 0, 0, 0, 1, 10
"d:\Code\AutoTest\src\AutoTest.Webapi\bin\Debug\net8.0\AutoTest.Webapi.deps.json", "JSON", 0, 134, 0, 0, 0, 0, 0, 134
"d:\Code\AutoTest\src\AutoTest.Webapi\bin\Debug\net8.0\AutoTest.Webapi.runtimeconfig.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 19
"d:\Code\AutoTest\src\AutoTest.Webapi\bin\Debug\net8.0\AutoTest.Webapi.staticwebassets.endpoints.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 5
"d:\Code\AutoTest\src\AutoTest.Webapi\bin\Debug\net8.0\Collections\WeatherForecast.postman_collection.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Code\AutoTest\src\AutoTest.Webapi\bin\Debug\net8.0\appsettings.Development.json", "JSON", 0, 8, 0, 0, 0, 0, 1, 9
"d:\Code\AutoTest\src\AutoTest.Webapi\bin\Debug\net8.0\appsettings.json", "JSON", 0, 9, 0, 0, 0, 0, 1, 10
"d:\Code\AutoTest\src\AutoTest.Webapi\obj\AutoTest.Webapi.csproj.nuget.dgspec.json", "JSON", 0, 112, 0, 0, 0, 0, 0, 112
"d:\Code\AutoTest\src\AutoTest.Webapi\obj\AutoTest.Webapi.csproj.nuget.g.props", "XML", 23, 0, 0, 0, 0, 0, 0, 23
"d:\Code\AutoTest\src\AutoTest.Webapi\obj\AutoTest.Webapi.csproj.nuget.g.targets", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"d:\Code\AutoTest\src\AutoTest.Webapi\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 1, 1, 5
"d:\Code\AutoTest\src\AutoTest.Webapi\obj\Debug\net8.0\ApiEndpoints.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 28
"d:\Code\AutoTest\src\AutoTest.Webapi\obj\Debug\net8.0\AutoTest.Webapi.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 10, 5, 24
"d:\Code\AutoTest\src\AutoTest.Webapi\obj\Debug\net8.0\AutoTest.Webapi.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 0, 23, 0, 0, 1, 24
"d:\Code\AutoTest\src\AutoTest.Webapi\obj\Debug\net8.0\AutoTest.Webapi.GlobalUsings.g.cs", "C#", 0, 0, 16, 0, 0, 1, 1, 18
"d:\Code\AutoTest\src\AutoTest.Webapi\obj\Debug\net8.0\AutoTest.Webapi.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 0, 4, 0, 0, 10, 5, 19
"d:\Code\AutoTest\src\AutoTest.Webapi\obj\Debug\net8.0\EndpointInfo\AutoTest.Webapi.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 47
"d:\Code\AutoTest\src\AutoTest.Webapi\obj\Debug\net8.0\staticwebassets.build.endpoints.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 5
"d:\Code\AutoTest\src\AutoTest.Webapi\obj\Debug\net8.0\staticwebassets.build.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 12
"d:\Code\AutoTest\src\AutoTest.Webapi\obj\Debug\net8.0\staticwebassets\msbuild.build.AutoTest.Webapi.props", "XML", 4, 0, 0, 0, 0, 0, 0, 4
"d:\Code\AutoTest\src\AutoTest.Webapi\obj\Debug\net8.0\staticwebassets\msbuild.buildMultiTargeting.AutoTest.Webapi.props", "XML", 3, 0, 0, 0, 0, 0, 0, 3
"d:\Code\AutoTest\src\AutoTest.Webapi\obj\Debug\net8.0\staticwebassets\msbuild.buildTransitive.AutoTest.Webapi.props", "XML", 3, 0, 0, 0, 0, 0, 0, 3
"d:\Code\AutoTest\src\AutoTest.Webapi\obj\project.assets.json", "JSON", 0, 1267, 0, 0, 0, 0, 0, 1267
"d:\Code\AutoTest\src\common\DomainCommons\EventCommons.csproj", "XML", 10, 0, 0, 0, 0, 0, 0, 10
"d:\Code\AutoTest\src\common\DomainCommons\EventHandlerServiceCollectionExtensions.cs", "C#", 0, 0, 26, 0, 0, 2, 7, 35
"d:\Code\AutoTest\src\common\DomainCommons\Eventbus.cs", "C#", 0, 0, 56, 0, 0, 4, 5, 65
"d:\Code\AutoTest\src\common\DomainCommons\IEvent.cs", "C#", 0, 0, 4, 0, 0, 0, 2, 6
"d:\Code\AutoTest\src\common\DomainCommons\IEventHandler.cs", "C#", 0, 0, 6, 0, 0, 0, 3, 9
"d:\Code\AutoTest\src\common\DomainCommons\IEventbus.cs", "C#", 0, 0, 8, 0, 0, 0, 4, 12
"d:\Code\AutoTest\src\common\DomainCommons\obj\Debug\net10.0\.NETCoreApp,Version=v10.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 1, 1, 5
"d:\Code\AutoTest\src\common\DomainCommons\obj\Debug\net10.0\DomainCommons.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 9, 5, 23
"d:\Code\AutoTest\src\common\DomainCommons\obj\Debug\net10.0\DomainCommons.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 0, 17, 0, 0, 1, 18
"d:\Code\AutoTest\src\common\DomainCommons\obj\Debug\net10.0\DomainCommons.GlobalUsings.g.cs", "C#", 0, 0, 7, 0, 0, 1, 1, 9
"d:\Code\AutoTest\src\common\DomainCommons\obj\Debug\net10.0\EventCommons.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 9, 5, 23
"d:\Code\AutoTest\src\common\DomainCommons\obj\Debug\net10.0\EventCommons.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 0, 17, 0, 0, 1, 18
"d:\Code\AutoTest\src\common\DomainCommons\obj\Debug\net10.0\EventCommons.GlobalUsings.g.cs", "C#", 0, 0, 7, 0, 0, 1, 1, 9
"d:\Code\AutoTest\src\common\DomainCommons\obj\DomainCommons.csproj.nuget.dgspec.json", "JSON", 0, 347, 0, 0, 0, 0, 0, 347
"d:\Code\AutoTest\src\common\DomainCommons\obj\DomainCommons.csproj.nuget.g.props", "XML", 16, 0, 0, 0, 0, 0, 0, 16
"d:\Code\AutoTest\src\common\DomainCommons\obj\DomainCommons.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 0, 2
"d:\Code\AutoTest\src\common\DomainCommons\obj\EventCommons.csproj.nuget.dgspec.json", "JSON", 0, 353, 0, 0, 0, 0, 0, 353
"d:\Code\AutoTest\src\common\DomainCommons\obj\EventCommons.csproj.nuget.g.props", "XML", 16, 0, 0, 0, 0, 0, 0, 16
"d:\Code\AutoTest\src\common\DomainCommons\obj\EventCommons.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 0, 2
"d:\Code\AutoTest\src\common\DomainCommons\obj\project.assets.json", "JSON", 0, 460, 0, 0, 0, 0, 0, 460
"Total", "-", 193, 4387, 701, 108, 97, 91, 199, 5776
